Killing a Voidshade Hybrid successfully rewards you with a variety of drops. Depending on your Slayer level, you can roll multiple drops.

Slayer Level | Loot Rolls
  1 | 1 roll
  2 | 1 roll
  3 | 1 roll
  4 | 2 rolls
  5 | 2 rolls
  6 | 3 rolls
  7 | 3 rolls
  8 | 4 rolls
  9 | 5 rolls
  10 | 6 rolls
  11 | 7 rolls


Drops are separated into different 'loot tiers'. Your Slayer level affects how many rolls are possible, but the tier of Voidshade that you kill affects the maximum loot tier that you can roll.

Drop Tier: Tier Weight
  C: 100 weight
  B: 50 weight
  A: 25 weight
  S: 15 weight
  S+: 10 weight

Voidshade Tier | Maximum Loot Tier
  Rebel (T1) | C-tier Maximum
  Outlaw (T2) | C-tier Maximum
    C: 100% chance

  Bandit (T3) | B-tier Maximum
  Raider (T4) | B-tier Maximum
    C: 66.67% chance
    B: 33.33% chance

  Exile (T5) | A-tier Maximum
  Vanguard (T6) | A-tier Maximum
    C: 57.14% chance
    B: 28.57% chance
    A: 14.28% chance

  Elite Vanguard (T6b) | S-tier Maximum, cannot roll C-tier drops
    B: 55.56% chance
    A: 33.33% chance
    S: 11.11% chance

  Annihilator (T7) | S+ tier Maximum, cannot roll C/B-tier drops
    A: 50% chance
    S: 30% chance
    S+: 20% chance


Additionally, rolling from a certain tier increases the 'dry streak' for every unique-marked drop in that tier by 1. This can occur a maximum of once per loot tier, per kill. The dry streak is reset when that drop is obtained.
If the dry streak reaches 2x the average rate of the drop (i.e. 200 kills for a 1/100 drop) then that kill is rewarded with the drop, guaranteed - regardless of how many other drops were rolled.

Unique-marked drops are rolled separately - when rolling from a tier, there is a small chance (based on tier) that it rolls from the 'unique' table rather than the 'standard' table.

Each Voidshade Hybrid is also guaranteed to drop a token item, used for removing Voidbound tags and other various Slayer items.

Voidshade Rebel: 1-3 Dark Wisps
Voidshade Outlaw: 6-15 Dark Wisps
Voidshade Bandit: 30-60 Dark Wisps
Voidshade Raider: 2-5 Shaded Wisps
Voidshade Exile: 4-13 Shaded Wisps
Voidshade Vanguard: 9-25 Shaded Wisps
Elite Voidshade Vanguard: 17-42 Shaded Wisps
Voidshade Annihilator: 30-70 Shaded Wisps (87.5% chance) OR 1 Void Wisp (12.5% chance)

The Voidshade Annihilator's guaranteed loot is given to each killer, up to a maximum of 5. If more than 6 players participated in the kill, then the top 5 damagers are rewarded instead.

Each player rolls a different set of drops, but only the top 5 damagers will roll any (prioritising the spawner as one of them regardless of damage).



Regular Drop Table
  Slayer Level Requirement | Drop Weight | Drop
  1 | 20 weight | 12-36 Enchanted Iron
  1 | 20 weight | 12-36 Enchanted Gold
  1 | 20 weight | 24-48 Enchanted Eyes of Ender
  1 | 20 weight | 12-36 Enchanted Slimeballs
  2 | 10 weight | 20-40 Enchanted Obsidian
  2 | 10 weight | 12-24 Enchanted Mithril
  2 | 10 weight | 2-7 Void Particles
  2 | 8 weight | 12-36 Enchanted Quartz
  2 | 8 weight | 24-48 Enchanted Nether Warts
  2 | 6 weight | 12-36 Enchanted Diamonds
  3 | 5 weight | 12-36 Fine Amethyst Gemstones
  3 | 3 weight | 24-48 Enchanted Emeralds
  3 | 2 weight | 8-22 Fine Jasper Gemstones
  3 | 2 weight | 2-3 Enchanted Packed Ice
  3 | 1 weight | 96-144 Fine Amethyst Gemstones
  4 | 1 weight | 7-16 Refined Titanium
  4 | 1 weight | 1-2 Flawless Ruby Gemstones
  4 | 1 weight | 12-24 Crying Obsidian
  5 | 1 weight | 1-2 Tessellated Pearls
  5 | 1 weight | 1-3 Flawless Jasper Gemstones
  8 | 1 weight | 1 Perfect Jasper Gemstone


C-tier Drop Table (1000 total weight) (T1+)
  Slayer Level Requirement | Drop Weight | Drop
    0 | 825 weight | Roll Regular Drop (1 time)
    2 | 120 weight | 2-4 Enchanted Gold Blocks
    3 | 50 weight | Pulsating Core
    6 | 5 weight | 1-2 Impure Xixopple


B-tier Drop Table (4000 total weight) (T3+)
  Slayer Level Requirement | Drop Weight | Drop
    0 | 3172 weight | Roll Regular Drop (1 time)
    2 | 360 weight | 3-6 Enchanted Gold Blocks
    3 | 160 weight | Pulsating Core
    5 | 40 weight | Hybrid Nucleus
    5 | 8 weight | 1-2 Myxtri Essence
    6 | 200 weight | Knockback III Book
    6 | 40 weight | 3-6 Impure Xixopple
    6 | 10 weight | 1-2 Flawless Jasper Gemstones
    7 | 10 weight | Knockback IV Book


A-tier Drop Table (6000 total weight) (T5+)
  Slayer Level Requirement | Drop Weight | Drop
    0 | 4437 weight | Roll Regular Drop (2 times)
    2 | 450 weight | 5-9 Enchanted Gold Blocks
    3 | 240 weight | Pulsating Core
    5 | 210 weight | Hybrid Nucleus
    5 | 30 weight | 1-3 Myxtri Essence
    6 | 120 weight | Knockback III Book
    6 | 150 weight | 6-14 Impure Xixopple
    6 | 30 weight | 1-6 Flawless Jasper Gemstones
    7 | 40 weight | Knockback IV Book
    8 | 180 weight | Jewel of the Void
    8 | 60 weight | Umbral Emblem
    8 | 36 weight | Ethereal Voidfang
    8 | 15 weight | Defiant Core
    9 | 2 weight | Proboscis of Descension


S-tier Drop Table (10000 total weight) (T6b)
  Slayer Level Requirement | Drop Weight | Drop
    0 | 6171 weight | Roll Regular Drop (2 times)
    2 | 600 weight | 8-15 Enchanted Gold Blocks
    3 | 200 weight | Pulsating Core
    5 | 800 weight | Hybrid Nucleus
    5 | 100 weight | 2-3 Myxtri Essence
    6 | 50 weight | Knockback III Book
    6 | 450 weight | 10-30 Impure Xixopple
    6 | 80 weight | 3-12 Flawless Jasper Gemstones
    7 | 400 weight | 1-2 Gelyxian Steel
    7 | 125 weight | Knockback IV Book
    8 | 500 weight | Jewel of the Void
    8 | 200 weight | Umbral Emblem
    8 | 125 weight | Defiant Core
    8 | 120 weight | Ethereal Voidfang
    8 | 50 weight | 1-3 Perfect Jasper Gemstones
    9 | 15 weight | Proboscis of Descension
    9 | 10 weight | Hilt of Volatility
    10 | 4 weight | Amorphous Viscera


S+ tier Drop Table (39000 total weight) (T7)
  Slayer Level Requirement | Drop Weight | Drop
    0 | 15878 weight | Roll Regular Drop (3 times)
    2 | 2100 weight | 12-25 Enchanted Gold Blocks
    3 | 900 weight | Pulsating Core
    5 | 2500 weight | Hybrid Nucleus
    5 | 1755 weight | 3-5 Myxtri Essence
